Request TimeStamp,Request Target,Request Data,Response TimeStamp,Response Source,Response Data,Communication Error,,
0.52334s,Vector SLP3,36 04 00 00 00 18 00 40 00 50 74 03 00 18 30 B4 2C 4B 01 24 2C 4D 1A 88 59 88 9B 88 4F F4 7A 5C 8A 42 14 BF 9A 42 02 80 05 D0 99 42 0E BF 01 80 A0 F8 00 C0 2C 70 01 88 A1 F5 FA 51 B1 F5 7A 5F 84 BF A0 F8 00 C0 2C 70 30 BC 70 47 1E 48 00 78 70 47 70 47 00 20 70 47 F0 B4 19 4A 00 23 01 25 B2 F8 36 C0 14 8F 57 8F 17 4E A4 45 18 BF BC 45 03 D1 BC F1 01 0F 07 D1 08 E0 BC 42 1C BF 03 80 75 70,0.52775s,Vector SLP3,76 04,,,
0.55433s,Vector SLP3,36 05 04 D1 01 2C 01 D0 03 80 00 E0 05 80 14 8E B2 F8 32 C0 92 8E 64 45 14 BF 94 42 0C 80 04 D0 94 45 08 BF A1 F8 00 C0 02 D1 73 70 F0 BC 70 47 0B 80 03 80 75 70 F0 BC 70 47 02 48 40 78 70 47 00 00 00 EF 01 11 0A 00 00 18 10 B5 0D F0 17 FC 6E 4A 01 46 52 8A 92 B2 10 46 03 F0 15 F9 00 B2 10 BD 69 48 B0 F9 14 00 70 47 67 48 B0 F9 16 00 70 47 65 48 4F F4 14 51 41 82 81 82 C1 82 70 47 10 B5,0.55900s,Vector SLP3,76 05,,,
0.58528s,Vector SLP3,36 06 03 F0 6B FD 60 4C 60 80 02 F0 08 FA A0 80 02 F0 09 FA E0 80 02 F0 0E FA 20 81 08 23 B4 F9 04 20 5A 49 03 20 03 F0 C8 F8 E0 81 60 88 0A 23 02 B2 57 49 06 20 03 F0 C0 F8 40 00 B4 F9 0E 10 00 B2 48 43 00 12 A0 81 60 88 0A 23 02 B2 51 49 05 20 03 F0 B2 F8 40 00 60 81 08 23 B4 F9 08 20 4E 49 01 20 03 F0 A9 F8 40 00 20 82 60 89 81 B2 A0 89 80 B2 03 F0 C8 F8 60 82 21 8A 80 B2 89 B2 03 F0,0.58987s,Vector SLP3,76 06,,,
0.61614s,Vector SLP3,36 07 C2 F8 60 82 08 23 B4 F9 06 20 44 49 04 20 03 F0 93 F8 40 00 E0 82 00 F0 55 FE B4 F9 06 20 02 28 4F F0 08 03 06 D0 3E 49 04 20 03 F0 85 F8 40 00 A0 82 10 BD 3B 49 01 20 03 F0 7E F8 40 00 A0 82 10 BD 39 49 00 20 08 60 48 60 88 60 2E 49 88 61 08 70 70 47 34 48 35 49 03 68 B3 F1 FF 3F 06 D0 B1 F9 00 20 00 2A AC BF 1A 44 9A 1A 02 60 43 68 B3 F1 FF 3F 06 D0 B1 F9 02 20 00 2A AC BF 1A 44,0.62074s,Vector SLP3,76 07,,,
0.64784s,Vector SLP3,36 08 9A 1A 42 60 82 68 B2 F1 FF 3F 08 BF 70 47 B1 F9 04 10 00 29 AC BF 11 44 51 1A 81 60 70 47 70 B4 21 49 19 48 0A 68 82 61 4B 68 93 42 88 BF 83 61 D1 F8 08 C0 81 69 8C 45 88 BF C0 F8 18 C0 1C 49 85 69 4F F2 18 66 A1 FB 05 41 49 09 01 EB 81 01 09 01 01 24 C1 61 B5 42 28 BF 8A 42 07 D9 8B 42 81 BF 8C 45 00 21 01 70 70 BC 88 BF 70 47 04 70 70 BC 70 47 04 49 00 20 08 70 70 47 02 49 01 20,0.65221s,Vector SLP3,76 08,,,
0.67887s,Vector SLP3,36 09 08 70 70 47 00 20 70 47 0C 00 00 18 44 33 01 11 56 33 01 11 7A 33 01 11 0E 33 01 11 2C 33 01 11 14 33 01 11 08 33 01 11 EC 04 00 18 22 03 00 18 1F 85 EB 51 FE 48 80 78 70 47 FD 48 80 79 70 47 FB 49 00 20 88 71 70 47 F9 48 00 78 70 47 F8 48 80 89 70 47 F6 48 C0 89 70 47 F5 48 00 8A 70 47 F3 48 40 8A 70 47 F2 48 80 8A 70 47 F0 48 C0 8A 70 47 EF 48 00 8B 70 47 ED 48 40 8B 70 47 EC 48,0.68346s,Vector SLP3,76 09,,,
0.71075s,Vector SLP3,36 0A 80 8B 70 47 EA 48 00 21 01 70 01 21 41 70 70 47 E7 4A 30 B4 50 78 00 24 02 F1 0C 01 01 28 03 D1 54 70 0C 80 10 70 14 72 10 78 01 28 0A D0 02 28 1C BF 30 BC 70 47 10 7A FF 28 3C BF 40 1C 10 72 30 BC 70 47 13 7A DB 48 CB B1 DF F8 6C C3 01 2B 45 D0 02 2B 5A D0 03 2B 65 D0 04 2B 7D D0 05 2B 78 D0 06 2B 77 D0 07 2B 76 D0 FF 2B 01 D2 58 1C 10 72 10 78 01 28 18 BF 14 72 30 BC 70 47 81 68,0.71532s,Vector SLP3,76 0A,,,
0.74281s,Vector SLP3,36 0B 51 63 41 68 91 63 01 68 D1 63 81 68 41 F4 E0 21 81 60 81 68 21 F4 F8 51 01 F5 80 71 81 60 01 68 41 F0 01 31 01 60 41 68 40 F2 01 1C 41 EA 0C 01 41 60 41 68 21 F0 06 01 21 F4 C0 61 41 60 01 68 01 F0 F9 31 01 60 01 68 21 F4 00 21 01 60 01 68 41 F0 00 61 01 60 41 68 41 F4 00 61 48 E0 DC F8 54 50 45 F0 3F 05 CC F8 54 50 DC F8 54 50 45 F0 3F 05 CC F8 54 50 00 68 10 F4 80 1F 08 88 14 BF,0.74719s,Vector SLP3,76 0B,,,
0.77331s,Vector SLP3,36 0C 40 F0 40 00 20 F0 40 00 08 80 B0 E7 01 68 41 F4 00 21 01 60 01 68 21 F0 00 61 01 60 41 68 41 F4 00 61 41 60 A3 E7 DC F8 54 50 45 F0 3F 05 CC F8 54 50 DC F8 54 50 45 F0 3F 05 CC F8 54 50 00 68 10 F0 80 5F 08 88 14 BF 40 F0 80 00 20 F0 80 00 DA E7 02 E0 0E E0 23 E0 3B E0 01 68 41 F4 00 21 01 60 01 68 41 F0 00 61 01 60 41 68 21 F4 00 61 41 60 7C E7 DC F8 54 50 45 F0 3F 05 CC F8 54 50,0.77769s,Vector SLP3,76 0C,,,
0.80439s,Vector SLP3,36 0D DC F8 54 50 45 F0 3F 05 CC F8 54 50 40 68 10 F4 80 5F 08 88 14 BF 40 F4 80 70 20 F4 80 70 B3 E7 81 68 21 F4 E0 21 01 F5 00 31 81 60 81 68 21 F4 F8 51 01 F5 80 71 81 60 01 68 41 F4 00 21 01 60 01 68 41 F0 00 61 01 60 41 68 41 F4 00 61 41 60 4D E7 DC F8 54 50 45 F0 3F 05 CC F8 54 50 DC F8 54 50 45 F0 3F 05 CC F8 54 50 05 68 15 F0 10 0F 0D 88 14 BF 45 F0 01 05 25 F0 01 05 0D 80 05 68,0.80893s,Vector SLP3,76 0D,,,
0.83519s,Vector SLP3,36 0E 15 F4 80 5F 0D 88 14 BF 45 F0 02 05 25 F0 02 05 0D 80 45 68 15 F0 10 0F 0D 88 14 BF 45 F0 04 05 25 F0 04 05 0D 80 05 68 15 F4 80 1F 0D 88 14 BF 45 F0 08 05 25 F0 08 05 0D 80 05 68 15 F0 80 5F 0D 88 14 BF 45 F0 10 05 25 F0 10 05 0D 80 45 68 15 F4 80 5F 0D 88 14 BF 45 F0 20 05 25 F0 20 05 0D 80 01 68 21 F4 00 21 01 60 01 68 21 F0 00 61 01 60 41 68 21 F4 00 61 41 60 DC F8 54 10 41 F0,0.83980s,Vector SLP3,76 0E,,,
0.86716s,Vector SLP3,36 0F 3F 01 CC F8 54 10 81 68 41 F4 E0 21 81 60 81 68 41 F4 F8 51 81 60 51 6B 81 60 91 6B 41 60 D1 6B 01 60 02 20 10 70 E2 E6 44 48 00 78 01 28 18 BF 70 47 10 B5 04 F0 C6 FB 00 20 03 F0 C5 FD 41 F2 88 31 00 20 03 F0 02 FE 06 F0 7A FE BD E8 10 40 03 20 06 F0 21 BE 36 49 03 20 C8 71 01 F1 0A 00 01 88 21 F4 00 61 01 80 70 47 31 48 C0 8B 70 47 2F 49 00 20 08 71 88 70 48 71 01 F1 0A 00 01 88,0.87167s,Vector SLP3,76 0F,,,
0.89785s,Vector SLP3,36 10 21 F4 83 41 01 80 70 47 10 B5 0A F0 FD FA 00 28 08 BF 10 BD 00 F0 16 FC 25 4C 03 28 09 D0 0A F0 11 FB 00 F0 1B FC 01 20 A0 71 BD E8 10 40 0A F0 F2 BA A0 78 00 28 F8 D1 0A F0 04 FB 00 F0 0E FC 1D 48 C1 6D 21 F4 F0 11 C1 65 1D 48 01 88 41 F4 80 41 01 80 E9 E7 2D E9 F0 41 15 4E 00 27 06 F1 0A 04 B0 78 18 B3 F0 78 13 4D 0A 28 66 D2 40 1C C0 B2 F0 70 09 28 18 BF BD E8 F0 81 68 6D 40 F4,0.90253s,Vector SLP3,76 10,,,
0.92988s,Vector SLP3,36 11 F8 10 40 F0 F8 50 68 65 68 6D 40 F4 F8 10 40 F0 F8 50 68 65 A8 6D 10 F0 00 6F 06 BF A8 6D 10 F0 80 5F BD E8 F0 81 00 F0 D3 FB 03 28 0A E0 12 E0 2C 00 00 18 00 40 03 40 00 60 00 50 7E 03 00 18 36 00 00 18 08 BF BD E8 F0 81 0A F0 B5 FA BD E8 F0 41 00 F0 C7 BB 20 88 B2 79 00 F4 C0 61 11 43 0B D1 10 F4 83 4F 08 D0 77 71 30 79 01 25 03 28 05 D2 B5 70 F7 70 40 1C 30 71 BD E8 F0 81 0A F0,0.93440s,Vector SLP3,76 11,,,
0.96057s,Vector SLP3,36 12 A1 FA 00 F0 AB FB 04 F0 1D FB 20 88 10 F4 80 4F 14 BF B5 71 B7 71 10 F0 80 0F 14 BF 40 F4 00 70 20 F4 00 70 20 80 80 B2 10 F4 80 7F 14 BF 40 F4 80 60 20 F4 80 60 20 80 BD E8 F0 81 68 6D 40 F4 00 30 68 65 68 6D 40 F0 00 70 68 65 68 6D 40 F4 80 20 68 65 68 6D 40 F0 80 60 68 65 68 6D 40 F0 80 60 68 65 00 F0 77 FB 00 28 A8 6D 07 D0 10 F0 00 7F 04 BF A8 6D 10 F0 00 6F 08 D0 02 E0 10 F0,0.96526s,Vector SLP3,76 12,,,
0.99143s,Vector SLP3,36 13 00 6F 0C D0 20 88 40 F4 80 70 20 80 1F E0 A8 6D 10 F0 80 6F 04 BF A8 6D 10 F0 80 5F 03 D0 20 88 40 F0 80 00 F1 E7 0A F0 2F FA 00 28 1C BF 20 88 40 F4 80 40 E9 D1 04 F0 BB FA 0A F0 32 FA 20 88 20 F4 83 40 20 80 E8 6D 40 F4 F0 10 E8 65 B7 70 BD E8 F0 81 10 B5 00 F0 35 FB 00 22 FE 49 03 28 1C BF 4A 71 10 BD 48 79 0A 28 3A BF 40 1C 48 71 0A 71 10 BD F9 48 81 69 21 F0 02 01 81 61 81 69,0.99612s,Vector SLP3,76 13,,,
1.02240s,Vector SLP3,36 14 41 F0 04 01 81 61 F6 48 01 6B 41 F0 80 71 01 63 01 6B 41 F0 80 01 01 63 01 6B 41 F0 80 61 01 63 01 6B 41 F0 00 71 01 63 01 6B 41 F4 80 71 01 63 EC 49 4A 68 22 F0 10 02 4A 60 4A 68 42 F0 01 02 4A 60 4A 68 42 F0 20 02 4A 60 01 6B 41 F4 80 41 01 63 C1 6D 21 F4 80 11 C1 65 C1 6D 21 F4 00 21 C1 65 C1 6D 21 F4 80 21 C1 65 C1 6D 21 F4 00 31 C1 65 01 6A 41 F0 80 01 01 62 DB 49 0A 79 42 F0,1.02699s,Vector SLP3,76 14,,,
1.05419s,Vector SLP3,36 15 04 02 0A 71 02 6A 42 F0 40 02 02 62 08 79 40 F0 40 00 08 71 91 F8 70 00 10 F0 40 0F D3 48 09 D0 91 F8 70 20 22 F0 40 02 81 F8 70 20 02 88 42 F4 00 62 02 80 91 F8 70 20 12 F0 02 0F 09 D0 91 F8 70 20 22 F0 02 02 81 F8 70 20 02 88 42 F4 80 52 02 80 91 F8 70 20 12 F0 01 0F 09 D0 91 F8 70 20 22 F0 01 02 81 F8 70 20 02 88 42 F4 00 52 02 80 91 F8 70 20 12 F0 20 0F 08 BF 70 47 91 F8 70 20,1.05885s,Vector SLP3,76 15,,,
1.08618s,Vector SLP3,36 16 22 F0 20 02 81 F8 70 20 01 88 41 F4 00 71 01 80 70 47 2D E9 F0 5F B6 49 05 20 0A F0 48 F9 B5 49 06 20 0A F0 44 F9 B4 49 07 20 0A F0 40 F9 B3 49 08 20 0A F0 3C F9 B2 49 09 20 0A F0 38 F9 B1 49 0A 20 0A F0 34 F9 B0 49 0C 20 0A F0 30 F9 AF 49 0D 20 0A F0 2C F9 DF F8 8C 92 D9 F8 18 00 A0 4E 10 F0 02 0F 09 D0 70 69 40 F4 80 40 70 61 D9 F8 18 00 40 F0 01 00 C9 F8 18 00 D9 F8 14 00 9B 4F,1.09071s,Vector SLP3,76 16,,,
1.11794s,Vector SLP3,36 17 10 F0 20 0F A7 F1 30 04 4F F4 96 70 4F F0 03 0A 04 F1 0A 05 23 D0 60 84 71 69 41 F4 00 61 71 61 21 8C 00 29 1C BF 49 1E 21 84 07 D1 29 88 41 F0 10 01 29 80 39 88 41 F0 02 01 39 80 D9 F8 14 10 11 F0 10 0F 34 D0 E0 84 70 69 40 F4 80 60 70 61 A0 8C 00 28 1C BF 40 1E A0 84 0D D0 14 E0 A4 F8 20 A0 61 8C 00 29 19 BF 49 1E 61 84 29 88 21 F0 10 01 08 BF 29 80 E1 E7 28 88 40 F0 20 00 28 80,1.12257s,Vector SLP3,76 17,,,
1.14902s,Vector SLP3,36 18 38 88 40 F0 04 00 38 80 D9 F8 10 00 4F F0 00 0B 10 F0 40 0F 41 D0 A4 F8 2A B0 70 69 40 F4 80 70 70 61 20 8D 00 28 1C BF 40 1E 20 85 0D D0 14 E0 A4 F8 24 A0 E0 8C 00 28 19 BF 40 1E E0 84 28 88 20 F0 20 00 08 BF 28 80 DE E7 28 88 40 F4 80 50 28 80 38 88 40 F4 80 60 38 80 DF F8 8C 81 98 F8 08 00 10 F0 08 0F 05 D0 98 F8 08 00 20 F0 08 00 88 F8 08 00 4F F0 50 20 01 7E 11 F0 02 0F 19 D0,1.15343s,Vector SLP3,76 18,,,
1.18055s,Vector SLP3,36 19 01 78 41 F0 02 01 01 70 28 88 40 F4 00 50 28 80 78 88 40 F0 10 00 78 80 10 E0 A4 F8 28 B0 60 8D 00 28 19 BF 40 1E 60 85 28 88 20 F4 80 50 08 BF 28 80 D2 E7 28 88 20 F4 00 50 28 80 20 8A 54 49 48 43 00 0C E0 83 00 F0 C6 F9 58 B3 A0 78 48 BB 60 8A 50 49 48 43 00 0C A0 85 E1 8B 88 42 86 BF 40 1A E0 85 A4 F8 2E B0 E0 8D A0 F5 E0 50 B0 F5 30 5F 18 D9 E0 79 00 28 1C BF 40 1E E0 71 18 D1,1.18492s,Vector SLP3,76 19,,,
1.21183s,Vector SLP3,36 1A 0A F0 A6 F8 F0 6D 20 F4 C0 20 F0 65 0A F0 9A F8 00 F0 A4 F9 28 88 40 F4 00 60 28 80 38 88 40 F4 80 70 38 80 05 E0 84 F8 07 A0 28 88 20 F4 00 60 28 80 39 48 01 68 11 F0 10 0F 04 BF 01 68 11 F0 20 0F 07 D1 01 68 11 F0 40 0F 04 BF 01 68 11 F0 08 0F 13 D0 01 68 41 F0 80 71 01 60 71 69 41 F0 02 01 71 61 71 69 41 F0 01 01 71 61 71 69 41 F0 04 01 71 61 01 68 41 F0 06 01 01 60 F0 69 10 F4,1.21616s,Vector SLP3,76 1A,,,
1.24939s,Vector SLP3,36 1B 7F 0F 04 BF 98 F8 04 00 10 F0 33 0F 1D D1 98 F8 70 00 10 F0 0F 0F 04 BF 98 F8 08 00 10 F0 38 0F 13 D1 98 F8 08 00 10 F0 40 0F 1C BF 98 F8 08 00 10 F0 80 0F 09 D0 D9 F8 18 00 10 F0 0E 0F 04 D1 16 48 00 6A 10 F4 2A 0F 2E D0 28 88 40 F0 40 00 28 80 38 88 24 E0 00 00 2C 00 00 18 00 C0 01 48 00 60 00 50 00 80 01 48 00 40 00 50 5C 00 00 18 3A 00 00 18 3C 00 00 18 3E 00 00 18 40 00 00 18,1.25400s,Vector SLP3,76 1B,,,
1.28019s,Vector SLP3,36 1C 42 00 00 18 44 00 00 18 46 00 00 18 48 00 00 18 00 04 7E 00 00 3A D2 00 00 E0 01 48 00 40 03 40 40 F0 08 00 38 80 03 E0 28 88 20 F0 40 00 28 80 B0 6D 10 F0 00 7F 04 BF B0 6D 10 F0 80 6F 07 D1 B0 6D 10 F0 00 6F 04 BF B0 6D 10 F0 80 5F 0C D0 A0 78 00 28 18 BF BD E8 F0 9F 70 6D 40 F4 F8 10 40 F0 F8 50 70 65 BD E8 F0 9F 28 88 20 F4 C0 60 28 80 BD E8 F0 9F B6 B6 10 B5 04 F0 63 F8 BD E8,1.28487s,Vector SLP3,76 1C,,,
1.31119s,Vector SLP3,36 1D 10 40 06 F0 BA BA 10 B5 63 4C 60 6D 40 F0 80 50 60 65 09 F0 DD FF 09 F0 D5 FF 00 F0 DF F8 E0 6D 20 F4 F0 10 E0 65 00 F0 CD F8 5C 49 03 28 08 88 0C BF 40 F0 80 00 40 F4 00 70 08 80 58 48 01 88 41 F0 10 01 01 80 10 BD 10 B5 53 4C 60 6D 40 F0 00 60 60 65 09 F0 BC FF 09 F0 B4 FF 00 F0 BE F8 E0 6D 20 F4 F0 10 E0 65 00 F0 AC F8 4B 49 03 28 08 88 0C BF 40 F4 80 70 40 F4 80 60 08 80 48 48,1.31574s,Vector SLP3,76 1D,,,
1.34196s,Vector SLP3,36 1E 01 88 41 F0 20 01 01 80 10 BD 10 B5 42 4C 60 6D 40 F0 80 60 60 65 09 F0 9B FF 09 F0 93 FF 00 F0 9D F8 E0 6D 20 F4 F0 10 E0 65 00 F0 8B F8 3B 49 03 28 08 88 0C BF 40 F0 80 00 40 F4 00 70 08 80 37 48 01 88 41 F0 40 01 01 80 10 BD 10 B5 32 4C 60 6D 40 F0 00 70 60 65 09 F0 7A FF 09 F0 72 FF 00 F0 7C F8 E0 6D 20 F4 F0 10 E0 65 00 F0 6A F8 2A 49 03 28 08 88 0C BF 40 F4 80 70 40 F4 80 60,1.34661s,Vector SLP3,76 1E,,,
1.37296s,Vector SLP3,36 1F 08 80 27 48 01 88 41 F0 80 01 01 80 10 BD 38 B5 21 4C E0 69 10 F0 80 0F 04 BF E0 69 10 F0 40 0F 0E D0 03 F0 CF FF 00 20 03 F0 CE F9 41 F2 88 31 00 20 03 F0 0B FA 06 F0 83 FA 03 20 06 F0 2C FA 18 48 01 79 11 F0 02 0F 04 BF 00 79 10 F0 20 0F 1D D0 03 F0 B7 FF 00 20 03 F0 B6 F9 41 F2 88 31 00 20 03 F0 F3 F9 00 20 03 F0 C3 F9 AD F8 00 00 00 20 03 F0 BE F9 BD F8 00 10 40 1A 80 B2 B0 F5,1.37748s,Vector SLP3,76 1F,,,
1.40367s,Vector SLP3,36 20 7A 6F F5 D3 06 F0 5C FA 03 20 06 F0 05 FA 60 6A 4F F0 FF 30 60 62 38 BD 00 60 00 50 36 00 00 18 5C 00 00 18 00 40 00 50 FE 49 08 84 70 47 FD 49 48 84 70 47 FB 49 09 8C 01 80 70 47 F9 49 49 8C 01 80 70 47 F7 48 40 78 70 47 F6 48 00 79 70 47 F4 48 80 78 70 47 F3 48 C0 78 70 47 F1 49 00 20 C8 70 70 47 EF 49 01 20 C8 70 70 47 ED 49 03 20 88 70 70 47 EB 49 00 20 88 70 70 47 E9 48 C0 8A,1.40834s,Vector SLP3,76 20,,,
1.43464s,Vector SLP3,36 21 70 47 E8 48 40 8B 70 47 E6 48 40 7A 70 47 E5 49 00 20 48 72 70 47 E3 48 40 79 70 47 E1 49 00 20 48 71 70 47 DF 48 80 79 70 47 DE 49 00 20 88 71 70 47 DC 48 00 7A 70 47 DA 48 80 8B 70 47 D9 48 B0 F9 32 00 70 47 D7 48 B0 F9 34 00 70 47 D5 48 B0 F9 1E 00 70 47 D3 48 80 7A 70 47 D1 48 B0 F9 36 00 70 47 CF 48 B0 F9 38 00 70 47 10 B5 05 F0 1D FC 73 21 48 43 80 0A 10 BD 10 28 08 BF 70 47,1.43921s,Vector SLP3,76 21,,,
1.46649s,Vector SLP3,36 22 10 B5 11 28 C7 4C 22 D0 12 28 08 BF 10 BD 13 28 18 BF 10 BD 00 F0 BF FC E0 72 00 F0 BF FC 20 73 00 F0 BF FC 60 73 00 F0 C4 FC A0 73 00 F0 C9 FC E0 73 60 7B 01 28 02 D0 00 F0 A9 FC A0 84 A0 7B 01 28 18 BF 10 BD 00 20 20 84 60 84 10 BD 00 F0 A2 FC E0 72 00 F0 A2 FC 20 73 00 F0 98 FC A0 84 10 BD B0 48 01 7A 31 B1 81 8B 4F F6 FF 72 91 42 34 BF 49 1C 70 47 81 83 70 47 2D E9 F0 4F A9 4C,1.47106s,Vector SLP3,76 22,,,
1.49742s,Vector SLP3,36 23 91 B0 00 25 65 72 21 78 20 46 61 70 80 8A 01 26 04 F1 12 09 04 F1 34 0A 04 F1 32 0B 4F F6 FF 78 04 F1 40 07 06 29 80 F0 25 83 DF E8 01 F0 F7 03 F8 F5 F4 F3 10 B1 01 28 18 D0 1F E0 A5 70 65 71 A6 71 25 72 A5 72 04 F0 6F FC E5 70 FF F7 03 FB FF F7 0E FB 09 F0 1F FE E5 82 4F F4 FA 71 01 20 03 F0 F4 F8 01 20 03 F0 37 F9 76 E0 04 F0 78 FD 05 F0 85 F8 05 F0 14 FB 04 F0 4F FC E7 78 A1 78,1.50194s,Vector SLP3,76 23,,,
1.52927s,Vector SLP3,36 24 89 48 81 B1 01 29 21 D0 02 29 4A D0 03 29 14 BF A5 70 09 F0 17 FE E0 78 00 28 4E D0 00 2F 49 D0 01 F0 A8 FC 4D E0 61 8F 41 45 3C BF 49 1C 61 87 81 6D 11 F0 00 6F 04 BF 80 6D 10 F0 80 5F EA D1 09 F0 FA FD E6 70 A6 70 65 87 E7 E7 61 8F 81 B1 76 48 00 88 10 F4 00 6F 16 D0 60 7C 03 28 3D BF 40 1C 60 74 A5 70 26 71 22 BF 65 74 02 20 A0 70 0E E0 42 6D 42 F4 F8 12 42 F0 F8 52 42 65 C2 6D,1.53380s,Vector SLP3,76 24,,,
1.56120s,Vector SLP3,36 25 42 F4 F0 12 C2 65 05 E0 25 71 38 00 08 BF A5 70 41 45 01 D2 48 1C 60 87 A0 78 01 28 18 BF 65 87 B9 E7 60 8F B0 F5 96 7F 39 BF 40 1C 60 87 A5 70 65 87 B0 E7 01 F0 34 FC 03 E0 00 2F 18 BF 01 F0 17 FD 01 F0 79 FD 40 B1 01 F0 72 FD 00 28 D8 BF 25 83 02 DD 01 F0 6C FD 20 83 A0 8A 40 45 3C BF 40 1C A0 82 01 F0 60 FB E8 B3 01 F0 65 FD D0 B3 07 F0 39 F9 B8 BB 01 F0 57 FB 07 46 01 F0 58 FD,1.56567s,Vector SLP3,76 25,,,
1.59201s,Vector SLP3,36 26 87 42 3F DD 01 F0 54 FD 10 F5 96 7F 3A DD 09 F0 88 FD 01 F0 4D FD B0 F5 96 7F 25 DA 40 F6 63 00 20 87 40 F2 CB 20 E0 86 41 48 A0 64 41 48 60 64 04 20 20 70 01 F0 3C FD 00 28 08 BF 65 85 0C D0 01 F0 36 FD 3C 28 06 DA 01 F0 32 FD 10 F1 3C 0F C8 BF 41 20 00 DC 7D 20 60 85 37 49 40 F2 E2 40 03 F0 D9 FD 0C E0 0D E0 01 F0 22 FD 33 49 48 43 00 14 E0 83 25 87 E5 86 A5 64 05 20 65 64 20 70,1.59653s,Vector SLP3,76 26,,,
